,CCODE,STATE,REG_START,REG_END,REG_PARTY,REG_REINST,ELITE_NAME,ELITE_REEXIT,ELITE_BIRTHDATE,ELITE_DEATHDATE,ELITE_FEMALE,ELITE_REENTER,ELITE_RETENURE,ELITE_ENTERAGE,ELITE_EXITAGE,ELITE_EXITTYPE,ELITE_EXITFATE,ELITE_EXITLEADER,ELITE_OCCUPATION
0,710,China,1949/01/22,,Communist Party of China (CPC),Politburo Standing Committee,Chen Boda,1970/11/16,1904/07/29,1989/09/20,0,1966/08/12,4.265753424657534,62.07945205479452,66.34520547945205,Expulsion,No Punishment,Mao,Teacher
1,710,China,1949/01/22,,Communist Party of China (CPC),Politburo Standing Committee,Chen Yun,1969/04/28,1905/06/13,1995/04/10,0,1949/01/22,20.276712328767122,43.64109589041096,63.917808219178085,Demotion,No Punishment,Mao,Union organizer
2,710,China,1949/01/22,,Communist Party of China (CPC),Politburo Standing Committee,Chen Yun,1987/11/02,1905/06/13,1995/04/10,0,1978/12/22,8.868493150684932,73.57534246575342,82.44383561643835,Resignation,No Punishment,Deng,Union organizer
3,710,China,1949/01/22,,Communist Party of China (CPC),Politburo Standing Committee,Deng Xiaoping,1968/10/31,1904/08/22,1997/02/19,0,1956/09/28,12.098630136986301,52.136986301369866,64.23561643835616,Expulsion,No Punishment,Mao,Party functionary
4,710,China,1949/01/22,,Communist Party of China (CPC),Politburo Standing Committee,Deng Xiaoping,1976/04/07,1904/08/22,1997/02/19,0,1975/01/10,1.2410958904109588,70.43287671232876,71.67397260273972,Demotion,No Punishment,Mao,Party functionary
5,710,China,1949/01/22,,Communist Party of China (CPC),Politburo Standing Committee,Deng Xiaoping,1987/11/02,1904/08/22,1997/02/19,0,1977/07/21,10.29041095890411,72.96164383561644,83.25205479452055,Resignation,No Punishment,,Party functionary
6,710,China,1949/01/22,,Communist Party of China (CPC),Politburo Standing Committee,Dong Biwu,1975/04/02,1886/03/05,1975/04/02,0,1949/01/22,26.208219178082192,62.9260274,89.13424658,Death,,Mao,Lawyer
7,710,China,1949/01/22,,Communist Party of China (CPC),Politburo Standing Committee,Han Zheng,NaT,4/?/1954,NaT,0,2017/10/25,,,,,,,Warehouse worker
8,710,China,1949/01/22,,Communist Party of China (CPC),Politburo Standing Committee,He Guoqiang,2012/11/15,1943/10/01,NaT,0,2007/11/22,4.986301369863014,64.18630136986302,69.17260273972603,Resignation,No Punishment,Xi,Chemical engineer
9,710,China,1949/01/22,,Communist Party of China (CPC),Politburo Standing Committee,Hu Jintao,2012/11/15,1942/12/21,NaT,0,1992/10/19,20.087671232876712,49.863013698630134,69.95068493150686,Resignation,No Punishment,Xi,Hydroelectric engineer
10,710,China,1949/01/22,,Communist Party of China (CPC),Politburo Standing Committee,Hu Qili,1989/06/23,10/?/1929,NaT,0,1987/11/02,1.641095890410959,,,Expulsion,No Punishment,Jiang,Party functionary
11,710,China,1949/01/22,,Communist Party of China (CPC),Politburo Standing Committee,Hu Yaobang,1987/11/02,1915/11/20,1989/04/15,0,1980/02/29,7.67945205479452,64.32054794520548,72.0,Demotion,No Punishment,Deng,Party functionary
12,710,China,1949/01/22,,Communist Party of China (CPC),Politburo Standing Committee,Hua Guofeng,1982/09/12,1921/02/16,2008/08/20,0,1977/08/18,5.071232876712329,56.53972602739726,61.61095890410959,Demotion,No Punishment,Deng,Party functionary
13,710,China,1949/01/22,,Communist Party of China (CPC),Politburo Standing Committee,Huang Ju,2007/06/02,1938/09/28,2007/06/02,0,2002/11/15,4.5479452054794525,64.17534246575343,68.72328767123288,Death,,Hu,Electrical engineer
14,710,China,1949/01/22,,Communist Party of China (CPC),Politburo Standing Committee,Jia Qinglin,2012/11/15,3/?/1940,NaT,0,2002/11/15,10.008219178082191,,,Resignation,No Punishment,Xi,Mechanical engineer
15,710,China,1949/01/22,,Communist Party of China (CPC),Politburo Standing Committee,Jiang Zemin,2002/11/15,1926/08/17,NaT,0,1989/06/24,13.402739726027397,62.895890410958906,76.2986301369863,Resignation,No Punishment,,Automotive engineer
16,710,China,1949/01/22,,Communist Party of China (CPC),Politburo Standing Committee,Kang Sheng,1975/12/16,?/?/1898,1975/12/16,0,1966/08/12,9.35068493150685,,,Death,,Mao,Labor organizer
17,710,China,1949/01/22,,Communist Party of China (CPC),Politburo Standing Committee,Li Changchun,2012/11/15,2/?/1944,NaT,0,2002/11/15,10.008219178082191,,,Resignation,No Punishment,Xi,Electrical engineer
18,710,China,1949/01/22,,Communist Party of China (CPC),Politburo Standing Committee,Li Desheng,1975/01/08,1916/05/04,2011/05/08,0,1973/08/30,1.358904109589041,57.36164383561644,58.72054794520548,Resignation,No Punishment,Mao,Soldier
19,710,China,1949/01/22,,Communist Party of China (CPC),Politburo Standing Committee,Li Fuchun,1969/04/28,1900/05/22,1975/01/09,0,1966/08/12,2.712328767123288,66.26849315068493,68.98082191780821,Demotion,No Punishment,Mao,Party functionary
20,710,China,1949/01/22,,Communist Party of China (CPC),Politburo Standing Committee,Li Keqiang,NaT,1955/07/01,NaT,0,2007/11/22,,52.43013698630137,,,,,Academic
21,710,China,1949/01/22,,Communist Party of China (CPC),Politburo Standing Committee,Li Lanqing,2002/11/15,1932/05/22,NaT,0,1997/09/19,5.158904109589041,65.37260273972603,70.53150684931506,Resignation,No Punishment,Hu,Automotive factory worker
22,710,China,1949/01/22,,Communist Party of China (CPC),Politburo Standing Committee,Li Peng,2002/11/15,1928/10/20,NaT,0,1987/11/02,15.046575342465754,59.07397260273972,74.12054794520547,Resignation,No Punishment,Hu,Hydroelectric engineer
23,710,China,1949/01/22,,Communist Party of China (CPC),Politburo Standing Committee,Li Ruihuan,2002/11/15,1934/09/17,NaT,0,1989/06/24,13.402739726027397,54.8054794520548,68.20821917808219,Resignation,No Punishment,Hu,Carpenter
24,710,China,1949/01/22,,Communist Party of China (CPC),Politburo Standing Committee,Li Xiannian,1987/11/02,1909/06/23,1992/06/21,0,1977/08/08,10.241095890410959,68.17260273972603,78.41369863013699,Resignation,No Punishment,Deng,Party functionary
25,710,China,1949/01/22,,Communist Party of China (CPC),Politburo Standing Committee,Li Zhanshu,NaT,1950/08/30,NaT,0,2017/10/25,,67.2,,,,,Party functionary
26,710,China,1949/01/22,,Communist Party of China (CPC),Politburo Standing Committee,Lin Biao,1971/09/13,1907/12/05,1971/09/13,0,1955/04/04,16.454794520547946,47.36164383561644,63.81643835616438,Death,,Mao,Soldier
27,710,China,1949/01/22,,Communist Party of China (CPC),Politburo Standing Committee,Liu Huaqing,1997/09/19,1916/10/01,2011/01/14,0,1992/10/19,4.920547945205479,76.1013698630137,81.02191780821917,Resignation,No Punishment,Jiang,Naval officer
28,710,China,1949/01/22,,Communist Party of China (CPC),Politburo Standing Committee,Liu Shaoqi,1968/10/31,1898/11/24,1969/11/12,0,1949/01/22,19.786301369863015,50.19452055,69.98082192,Expulsion,Incarceration,Mao,Labor organizer
29,710,China,1949/01/22,,Communist Party of China (CPC),Politburo Standing Committee,Liu Yunshan,2017/10/25,7/?/1947,NaT,0,2012/11/15,4.945205479452055,,,Resignation,No Punishment,Xi,Journalist
30,710,China,1949/01/22,,Communist Party of China (CPC),Politburo Standing Committee,Luo Gan,2007/11/22,1935/07/18,NaT,0,2002/11/15,5.021917808219178,67.37534246575342,72.3972602739726,Resignation,No Punishment,Hu,Metallurgical engineer
31,710,China,1949/01/22,,Communist Party of China (CPC),Politburo Standing Committee,Mao Zedong,1976/09/09,1893/12/26,1976/09/09,0,1949/01/22,27.649315068493152,55.10958904,82.75890411,Death,,,Teacher
32,710,China,1949/01/22,,Communist Party of China (CPC),Politburo Standing Committee,Qiao Shi,1997/09/09,1924/12/24,2015/06/14,0,1987/11/02,9.860273972602739,62.8986301369863,72.75890410958904,Resignation,No Punishment,Jiang,Iron and steel worker
33,710,China,1949/01/22,,Communist Party of China (CPC),Politburo Standing Committee,Ren Bishi,1950/10/27,1904/04/30,1950/10/27,0,1949/01/22,1.7616438356164383,44.76164383561644,46.52328767123288,Death,,Mao,Party functionary
34,710,China,1949/01/22,,Communist Party of China (CPC),Politburo Standing Committee,Song Ping,1992/10/19,1917/04/24,NaT,0,1989/06/24,3.3232876712328765,72.21643835616439,75.53972602739726,Resignation,No Punishment,Jiang,Party functionary
35,710,China,1949/01/22,,Communist Party of China (CPC),Politburo Standing Committee,Tao Zhu,1967/01/04,1908/01/16,1969/11/30,0,1966/12/08,0.07397260273972603,58.93424657534246,59.00821917808219,Expulsion,Incarceration,Mao,Party functionary
36,710,China,1949/01/22,,Communist Party of China (CPC),Politburo Standing Committee,Xi Jinping,NaT,1953/06/15,NaT,0,2007/11/22,,54.47397260273973,,,,,Party functionary
37,710,China,1949/01/22,,Communist Party of China (CPC),Politburo Standing Committee,Wang Dongxing,1980/02/29,1916/01/09,2015/08/21,0,1977/08/18,2.5342465753424657,61.64931506849315,64.18356164383562,Demotion,No Punishment,Deng,Soldier
38,710,China,1949/01/22,,Communist Party of China (CPC),Politburo Standing Committee,Wang Hongwen,1976/10/06,12/?/1935,1992/08/03,0,1973/08/30,3.1041095890410957,,,Expulsion,Incarceration,Hua,Party functionary
39,710,China,1949/01/22,,Communist Party of China (CPC),Politburo Standing Committee,Wang Huning,NaT,1955/10/06,NaT,0,2017/10/25,,62.0958904109589,,,,,Professor of Law
40,710,China,1949/01/22,,Communist Party of China (CPC),Politburo Standing Committee,Wang Qishan,2017/10/25,1948/07/19,NaT,0,2012/11/15,4.945205479452055,64.36986301369863,69.31506849315069,Resignation,No Punishment,Xi,Historian
41,710,China,1949/01/22,,Communist Party of China (CPC),Politburo Standing Committee,Wang Yang,NaT,1955/03/12,NaT,0,2017/10/25,,62.66575342465753,,,,,Factory worker
42,710,China,1949/01/22,,Communist Party of China (CPC),Politburo Standing Committee,Wei Jianxing,2002/11/15,1931/01/02,2015/08/07,0,1997/09/19,5.158904109589041,66.75890410958904,71.91780821917808,Resignation,No Punishment,Hu,Industrial worker
43,710,China,1949/01/22,,Communist Party of China (CPC),Politburo Standing Committee,Wen Jiabao,2012/11/15,1942/09/15,NaT,0,2002/11/15,10.008219178082191,60.20821917808219,70.21643835616439,Resignation,No Punishment,Xi,Geologist
44,710,China,1949/01/22,,Communist Party of China (CPC),Politburo Standing Committee,Wu Bangguo,2012/11/15,1941/07/12,NaT,0,2002/11/15,10.008219178082191,61.38630136986301,71.3945205479452,Resignation,No Punishment,Xi,Factory technician
45,710,China,1949/01/22,,Communist Party of China (CPC),Politburo Standing Committee,Wu Guanzheng,2007/11/22,1938/10/18,NaT,0,2002/11/15,5.021917808219178,64.12054794520547,69.14246575342466,Resignation,No Punishment,Hu,Factory technician
46,710,China,1949/01/22,,Communist Party of China (CPC),Politburo Standing Committee,Yao Yilin,1992/10/19,1917/09/06,1994/12/11,0,1987/11/02,4.967123287671233,70.2027397260274,75.16986301369863,Resignation,No Punishment,Jiang,Party functionary
47,710,China,1949/01/22,,Communist Party of China (CPC),Politburo Standing Committee,Ye Jianying,1985/09/16,1897/04/28,1986/10/22,0,1973/08/30,12.054794520547945,76.3890411,88.44383562,Resignation,No Punishment,Deng,Soldier
48,710,China,1949/01/22,,Communist Party of China (CPC),Politburo Standing Committee,Yu Zhengsheng,2017/10/25,1945/04/05,NaT,0,2012/11/15,4.945205479452055,67.66027397260274,72.6054794520548,Resignation,No Punishment,Xi,Electronics engineer
49,710,China,1949/01/22,,Communist Party of China (CPC),Politburo Standing Committee,Zeng Qinghong,2007/11/22,1939/07/30,NaT,0,2002/11/15,5.021917808219178,63.33972602739726,68.36164383561643,Resignation,No Punishment,Hu,Engineer
50,710,China,1949/01/22,,Communist Party of China (CPC),Politburo Standing Committee,Zhang Chunqiao,1976/10/06,1917/02/01,2005/04/21,0,1973/08/30,3.1041095890410957,56.61369863013699,59.71780821917808,Expulsion,Incarceration,Hua,Journalist
51,710,China,1949/01/22,,Communist Party of China (CPC),Politburo Standing Committee,Zhang Dejiang,2017/10/25,1946/11/04,NaT,0,2012/11/15,4.945205479452055,66.07671232876713,71.02191780821917,Resignation,No Punishment,Xi,Party functionary
52,710,China,1949/01/22,,Communist Party of China (CPC),Politburo Standing Committee,Zhang Gaoli,2017/10/25,11/?/1946,NaT,0,2012/11/15,4.945205479452055,,,Resignation,No Punishment,Xi,Warehouse laborer
53,710,China,1949/01/22,,Communist Party of China (CPC),Politburo Standing Committee,Zhao Leji,NaT,1957/03/08,NaT,0,2017/10/15,,60.64657534246575,,,,,Commerce official
54,710,China,1949/01/22,,Communist Party of China (CPC),Politburo Standing Committee,Zhao Ziyang,1989/06/23,1919/10/17,2005/01/17,0,1980/02/29,9.32054794520548,60.41095890410959,69.73150684931507,Expulsion,Incarceration,Jiang,Party functionary
55,710,China,1949/01/22,,Communist Party of China (CPC),Politburo Standing Committee,Zhou Enlai,1976/01/08,1898/03/05,1976/01/08,0,1949/01/22,26.97808219178082,50.91780822,77.89589041,Death,,Mao,Party functionary
56,710,China,1949/01/22,,Communist Party of China (CPC),Politburo Standing Committee,Zhou Yongkang,2012/11/15,1942/12/03,NaT,0,2007/11/22,4.986301369863014,65.01369863013699,70.0,Resignation,No Punishment,Xi,Petroleum engineer
57,710,China,1949/01/22,,Communist Party of China (CPC),Politburo Standing Committee,Zhu De,1969/04/28,1886/12/01,1976/07/06,0,1949/01/22,20.276712328767122,62.18356164,82.46027397,Demotion,No Punishment,Mao,Soldier
58,710,China,1949/01/22,,Communist Party of China (CPC),Politburo Standing Committee,Zhu De,1976/07/06,1886/12/01,1976/07/06,0,1973/08/30,2.852054794520548,86.80273973,89.65479452,Death,,Mao,Soldier
59,710,China,1949/01/22,,Communist Party of China (CPC),Politburo Standing Committee,Zhu Rongji,2002/11/15,1928/10/23,NaT,0,1992/10/19,10.07945205479452,64.03287671232877,74.11232876712329,Resignation,No Punishment,Hu,State planner
